"date","n","cases","deaths"
2020-01-21,3705,1,0
2020-01-22,3701,1,0
2020-01-23,3917,1,0
2020-01-24,4146,2,0
2020-01-25,1548,3,0
2020-01-26,1309,5,0
2020-01-27,3167,5,0
2020-01-28,3504,5,0
2020-01-29,3309,5,0
2020-01-30,3228,6,0
2020-01-31,3595,7,0
2020-02-01,1581,8,0
2020-02-02,1454,11,0
2020-02-03,3352,11,0
2020-02-04,3404,11,0
2020-02-05,3806,12,0
2020-02-06,4662,12,0
2020-02-07,4391,12,0
2020-02-08,1589,12,0
2020-02-09,1634,12,0
2020-02-10,3757,13,0
2020-02-11,3743,13,0
2020-02-12,3713,14,0
2020-02-13,4141,15,0
2020-02-14,4145,15,0
2020-02-15,1635,15,0
2020-02-16,1346,15,0
2020-02-17,3075,25,0
2020-02-18,3998,25,0
2020-02-19,3298,25,0
2020-02-20,3376,27,0
2020-02-21,3504,30,0
2020-02-22,1654,30,0
2020-02-23,1283,30,0
2020-02-24,3330,43,0
2020-02-25,3047,45,0
2020-02-26,3470,60,0
2020-02-27,2546,60,0
2020-02-28,3350,65,0
2020-02-29,1564,70,1
2020-03-01,1400,88,3
2020-03-02,3058,104,6
2020-03-03,3446,125,10
2020-03-04,3219,161,12
2020-03-05,3399,228,12
2020-03-06,3429,311,15
2020-03-07,1668,428,19
2020-03-08,1235,547,22
2020-03-09,2961,748,26
2020-03-10,3911,1018,31
2020-03-11,3139,1263,37
2020-03-12,3586,1668,43
2020-03-13,3541,2224,50
2020-03-14,2057,2898,60
2020-03-15,1429,3600,68
2020-03-16,2965,4507,91
2020-03-17,2286,5906,117
2020-03-18,3088,8350,162
2020-03-19,4511,12393,212
2020-03-20,4136,18012,277
2020-03-21,1624,24528,360
2020-03-22,2027,33073,458
2020-03-23,4640,43505,579
2020-03-24,3567,53938,785
2020-03-25,3132,68572,1054
2020-03-26,2963,85570,1353
2020-03-27,3121,102900,1765
2020-03-28,1341,123966,2292
2020-03-29,1094,142486,2707
2020-03-30,2075,163955,3354
2020-03-31,2006,188461,4289
2020-04-01,2024,215391,5325
2020-04-02,2919,245108,6541
2020-04-03,3540,277426,7932
2020-04-04,1598,312525,9488
2020-04-05,1796,338141,10856
