"date","n","cases","deaths"
2020-01-21,3705,0,0
2020-01-22,3701,0,0
2020-01-23,3917,0,0
2020-01-24,4146,1,0
2020-01-25,1548,1,0
2020-01-26,1309,2,0
2020-01-27,3167,0,0
2020-01-28,3504,0,0
2020-01-29,3309,0,0
2020-01-30,3228,1,0
2020-01-31,3595,1,0
2020-02-01,1581,1,0
2020-02-02,1454,3,0
2020-02-03,3352,0,0
2020-02-04,3404,0,0
2020-02-05,3806,1,0
2020-02-06,4662,0,0
2020-02-07,4391,0,0
2020-02-08,1589,0,0
2020-02-09,1634,0,0
2020-02-10,3757,1,0
2020-02-11,3743,0,0
2020-02-12,3713,1,0
2020-02-13,4141,1,0
2020-02-14,4145,0,0
2020-02-15,1635,0,0
2020-02-16,1346,0,0
2020-02-17,3075,10,0
2020-02-18,3998,0,0
2020-02-19,3298,0,0
2020-02-20,3376,2,0
2020-02-21,3504,3,0
2020-02-22,1654,0,0
2020-02-23,1283,0,0
2020-02-24,3330,13,0
2020-02-25,3047,2,0
2020-02-26,3470,15,0
2020-02-27,2546,0,0
2020-02-28,3350,5,0
2020-02-29,1564,5,1
2020-03-01,1400,18,2
2020-03-02,3058,16,3
2020-03-03,3446,21,4
2020-03-04,3219,36,2
2020-03-05,3399,67,0
2020-03-06,3429,83,3
2020-03-07,1668,117,4
2020-03-08,1235,119,3
2020-03-09,2961,201,4
2020-03-10,3911,270,5
2020-03-11,3139,245,6
2020-03-12,3586,405,6
2020-03-13,3541,556,7
2020-03-14,2057,674,10
2020-03-15,1429,702,8
2020-03-16,2965,907,23
2020-03-17,2286,1399,26
2020-03-18,3088,2444,45
2020-03-19,4511,4043,50
2020-03-20,4136,5619,65
2020-03-21,1624,6516,83
2020-03-22,2027,8545,98
2020-03-23,4640,10432,121
2020-03-24,3567,10433,206
2020-03-25,3132,14634,269
2020-03-26,2963,16998,299
2020-03-27,3121,17330,412
2020-03-28,1341,21066,527
2020-03-29,1094,18520,415
2020-03-30,2075,21469,647
2020-03-31,2006,24506,935
2020-04-01,2024,26930,1036
2020-04-02,2919,29717,1216
2020-04-03,3540,32318,1391
2020-04-04,1598,35099,1556
2020-04-05,1796,25616,1368
2020-04-06,4724,30916,1526
2020-04-07,3665,30337,2234
2020-04-08,2928,31820,2085
2020-04-09,4093,34699,2120
2020-04-10,3666,33473,2263
2020-04-11,1438,31720,2084
2020-04-12,1541,27143,1681
2020-04-13,3800,25769,1764
2020-04-14,3002,26691,2705
2020-04-15,3456,30033,2752
2020-04-16,3276,31613,2348
2020-04-17,3236,31509,2289
2020-04-18,1579,28398,1952
2020-04-19,1265,25334,1520
2020-04-20,3293,27395,1837
2020-04-21,3112,25514,2672
2020-04-22,3483,28831,2371
2020-04-23,3359,33776,2169
2020-04-24,4066,36741,2132
2020-04-25,1532,34408,1966
2020-04-26,1341,26735,1254
2020-04-27,3391,23197,1442
2020-04-28,3217,24653,2394
